name,ratings,date,helpful,comment,developer_comment
윤승환,1,2020-09-24,3,이 어플은 결제를 유도하며 성능 또한 나쁘다,"ATi Studios2020년 9월 25일Hello, Thanks for the feedback. Mondly has free content as well: daily lessons so you can create a learning routine; weekly quizzes and monthly challenges to test your progress. We do have paid content but that’s so we can keep the lights on. We’re just working on making your Mondly experience better and better! Happy learning! Ioana, Customer Care"
Cesar Sisniega,5,2020-07-15,6,내가 추천하는 아주 좋은 응용 프로그램입니다,
Potato Bread,5,2019-05-19,14,나는이 앱을 좋아했다.,
『 Kim Yori 』,5,2020-05-20,8,나는 응용 프로그램을 좋아,
Mew Wasana,5,2020-05-22,4,너무 좋아요,
Google 사용자,5,2018-10-03,4,난 좌헤ㅛ 진자로,
kim فيكتوريا,5,2020-12-15,0,Thanks it's very nice 😍,
Sanda Noscova,4,2020-08-12,1,"Cateva cuvinte nu sunt cum e fix in coreeana,si in traducere din romana in coreeana,ar trebuie sa fie cu litera coreene nu cu litera latine in sensul coreean....in rest e destul de bun",
Catur prasetio,5,2020-08-31,0,"Saya suka dengan aplikasi ini, sangat membantu",
Alessia Petcu,5,2020-08-09,0,Super bello sto imparando senza problemi,
anh linh,5,2020-04-09,2,Good,
PAM PAM,5,2020-07-09,1,좋아해요♥,
가는호러,5,2020-06-21,0,Cool,
Giezi Escamilla Diaz,5,2019-12-01,2,Me encanta,
YEOJUNE YOON,5,2019-11-12,0,Good,
Алина Рышкина,5,2020-01-18,0,감사합니다,
Julia Wolak,4,2019-08-05,1,"daję 4, bo według mnie za naukę nie powinno się tyle płacić (chodzi o premium) i jest to jak dla mnie nie potrzebne. ogólnie apka działa dobrze i jest fajnie prowadzona :)",
Robloxun oyuncusu,5,2019-09-25,0,5 yıldız verdim güzel bir uygulama yardımcı oluyor ama korece öğrenmek için bir uygulama yetmez daha fazla uygulamaya bakıp youtube den yardım alıp önemli bulduğunuz yerleri not alın bol bol kore kelimeleri okuyun kitapları okuyun korece videoları bakın bu dediklerimi boş zamanlarinizda yaparsanız en az1 en fazla 2 yılda kore yi çözersiniz herşey bir uygulamadan beklemeyin yani kendi tekniklerinizde kullanın iyi ve bol şanslar 😊,
음음,1,2019-07-14,1,unnatural translate app ㅜㅜ,"ATi Studios2019년 8월 30일Hello,  I'm sorry to hear that you weren't able to fully enjoy the Mondly experience. Please send us the details of this issue at android@mondly.com and we'll help right away.  Looking forward to hearing from you, Ioana- Mondly Languages"
Jacky Binz,1,2019-08-15,0,es kostet sehr viel,"ATi Studios2019년 8월 30일Hello, Thanks for the feedback. Mondly has free content as well: daily lessons so you can create a learning routine; weekly quizzes and monthly challenges to test your progress. We do have paid content but that’s so we can keep the lights on. We’re just working on making your Mondly experience better and better! Happy learning! Ioana, Customer Care"
Marce Ly,5,2019-08-28,0,Muito bom,
oho2007,5,2019-06-29,0,so good I love this app.,
BTS Live,5,2019-05-06,1,thannk,
Google 사용자,5,2019-03-13,0,иероглифы не сильно запоминаються но это дело во мне так то все слова и всё запомнила улышала и увидила и выучила кансанида-спосибо,
jane -,5,2018-11-13,2,I love this programm💫💟,
Kim Kinga,5,2019-01-21,1,사랑❤️,
Google 사용자,5,2018-11-03,1,좋습니다,
Google 사용자,5,2020-01-23,0,This app is better than Drops! This app will teach you SOV!! I've been searching for an app like this tysm,
Roci Epic,5,2018-07-06,2,"Me gustó mucho por que he aprendido muchas palabras :) A lo menos. Yo la 
recomiendo :b",
Google 사용자,5,2018-07-23,1,"Es la mejor aplicación, me sirvió mucho",
Google 사용자,5,2018-08-19,0,너무 좋다,
긂쟁이,3,2017-09-18,9,이거 잘못눌러서 돈 내버렷는데 이거 다시 확인하는 시스템 만들어 주세요,"ATi Studios2017년 11월 1일Greetings from Mondly!   Thank you for the feedback. If you encounter any issues while enjoying the Mondly experience, please let us know at mondlylanguages@yahoo.com and we'll help right away.  Looking forward to hearing from you, Ioana, Customer Care"
Sya Sya813,3,2017-11-16,3,"Total kacke, dass das was kostet und total kacke, dass der einfach neue Formen ausspuckt. Aber sonst total gut. xD","ATi Studios2017년 12월 2일Greetings from Mondly!  Thank you for the feedback. If you encounter any issues while enjoying the Mondly experience, please let us know at android@mondlylanguages.com and we'll help right away.  Looking forward to hearing from you, Ioana, Customer Care"
미묘장,1,2017-09-18,1,결제취소방법 알려주세요,"ATi Studios2017년 11월 1일Greetings from Mondly!   Thank you for the feedback. If you encounter any issues while enjoying the Mondly experience, please let us know at mondlylanguages@yahoo.com and we'll help right away.  Looking forward to hearing from you, Ioana, Customer Care"
Aida F.,5,2018-01-15,0,Luv this,
mariam khazaleh,5,2018-01-28,0,واااو,
nguyen ngoc,5,2017-11-01,0,Tốt,
Zay_ Ro28,5,2018-05-03,0,(≧∇≦)/,
마르셀라실바,5,2017-08-19,1,Muito bom super recomendo!!!  👌🏻👏🏻👏🏻👏🏻,
Selma Işık,5,2017-01-24,6,Gördüğüm en iyi korece öğrenim programı 사랑 😍,
Sweet Caroline,2,2017-08-11,0,The app always stops. You should fix it!,"ATi Studios2017년 11월 1일Hello,  I'm sorry to hear that you weren't able to fully enjoy the Mondly experience. Please send us the details of this issue at mondlylanguages@yahoo.com and we'll help right away.  Looking forward to hearing from you,  Ioana- Mondly Languages"
Google 사용자,4,2017-02-07,2,I wish it was for free.,
M L,5,2017-05-01,0,Самое лучшее приложение) мне очень нравится,
Yeonsoon Park,5,2017-05-06,0,재밌어요-!!,
Jesmin Shi,5,2017-02-13,2,Love,
Jeony Ichijo,5,2017-03-09,1,😘😍😍😍😘 j'adore...,
김경민,5,2017-03-28,0,쉽게이해되요^^,
Google 사용자,5,2017-04-19,0,좋아요,
andres felipe mendoza Obando,5,2016-11-14,3,Muy buena,
최진석,5,2016-11-11,1,최생선,
강지은,5,2016-11-13,2,지금까지는 만족,
Isabela Silva,5,2017-01-16,0,Amei!!,
려혁Monkey Wookie,5,2016-08-05,1,Es favulosa soy kpoper y estoy aprendiendo coreano algunas palabras ya las sabia pero es genial bien hecho.😇😘,
India Wallace,5,2016-06-22,8,"It helps you with listening,pronunciation, and vocabulary/phrases. It's a perfect app! I highly recommend it.",
